+----------------------------------------+----------------------------------+--------+
|                  NAME                  |           DESCRIPTION            | COLOR  |
+----------------------------------------+----------------------------------+--------+
| ¯\_(ツ)_/¯                             | ¯\\\_(ツ)_/¯                     | f9d0c4 |
| anchors                                |                                  | 3DBF29 |
| api-review                             | Categorizes an issue or PR       | e11d21 |
|                                        | as actively needing an API       |        |
|                                        | review.                          |        |
| apply                                  | issues for `kustomize apply`     | c2e0c6 |
| approved                               | Indicates a PR has been          | 0ffa16 |
|                                        | approved by an approver from     |        |
|                                        | all required OWNERS files.       |        |
| area/anchors                           | related to yaml anchors          | c5def5 |
| area/api                               | issues for api module            | 49bcff |
| area/cli                               | Issues for kustomize CLI         | fbca04 |
|                                        | interface                        |        |
| area/community-meeting                 | Issues or PRs that should        | 0052cc |
|                                        | potentially be discussed in a    |        |
|                                        | Kubernetes community meeting.    |        |
| area/dependency                        | Issues or PRs related to         | 0052cc |
|                                        | dependency changes               |        |
| area/helm                              |                                  | 7045BC |
| area/kyaml                             | issues for kyaml                 | d26cdd |
| area/openapi                           | Issues to OpenAPI in kyaml       | b529ce |
| area/plugin                            | issues for plugins               | c2e0c6 |
| area/provider/aws                      | Issues or PRs related to aws     | 0052cc |
|                                        | provider                         |        |
| area/provider/azure                    | Issues or PRs related to azure   | 0052cc |
|                                        | provider                         |        |
| area/provider/digitalocean             | Issues or PRs related to         | 0052cc |
|                                        | digitalocean provider            |        |
| area/provider/gcp                      | Issues or PRs related to gcp     | 0052cc |
|                                        | provider                         |        |
| area/provider/ibmcloud                 | Issues or PRs related to         | 0052cc |
|                                        | ibmcloud provider                |        |
| area/provider/openstack                | Issues or PRs related to         | 0052cc |
|                                        | openstack provider               |        |
| area/provider/vmware                   | Issues or PRs related to         | 0052cc |
|                                        | vmware provider                  |        |
| area/pseudo                            |                                  | c40775 |
| area/release                           | Issues to release process        | d93f0b |
| area/yaml-upstream                     | Issues root caused to            | FA5A28 |
|                                        | gopkg.in/yaml                    |        |
| cherry-pick-approved                   | Indicates a cherry-pick PR       | fef2c0 |
|                                        | into a release branch has been   |        |
|                                        | approved by the release branch   |        |
|                                        | manager.                         |        |
| cncf-cla: no                           | Indicates the PR's author has    | e11d21 |
|                                        | not signed the CNCF CLA.         |        |
| cncf-cla: yes                          | Indicates the PR's author has    | bfe5bf |
|                                        | signed the CNCF CLA.             |        |
| committee/code-of-conduct              | Denotes an issue or PR           | c0ff4a |
|                                        | intended to be handled by the    |        |
|                                        | code of conduct committee.       |        |
| committee/security-response            | Denotes an issue or PR           | c0ff4a |
|                                        | intended to be handled by the    |        |
|                                        | product security committee.      |        |
| committee/steering                     | Denotes an issue or PR           | c0ff4a |
|                                        | intended to be handled by the    |        |
|                                        | steering committee.              |        |
| dependencies                           | Pull requests that update a      | 0366d6 |
|                                        | dependency file                  |        |
| do-not-merge                           | DEPRECATED. Indicates that       | e11d21 |
|                                        | a PR should not merge.           |        |
|                                        | Label can only be manually       |        |
|                                        | applied/removed.                 |        |
| do-not-merge/blocked-paths             | Indicates that a PR should not   | e11d21 |
|                                        | merge because it touches files   |        |
|                                        | in blocked paths.                |        |
| do-not-merge/cherry-pick-not-approved  | Indicates that a PR is not       | e11d21 |
|                                        | yet approved to merge into a     |        |
